N,P,K,temperature,humidity,ph,label,soil_texture
95,52,36,26.22916897,83.83625819,5.543360238,rice,Silt loam
75,38,39,23.44676801,84.79352417,6.215109715,rice,Clay loam
75,38,39,23.44676801,84.79352417,6.215109715,rice,Silt loam
74,54,38,25.65553461,83.47021081,7.120272972,rice,Clay loam
74,54,38,25.65553461,83.47021081,7.120272972,rice,Silt loam
91,36,45,24.44345477,82.45432595,5.950647577,rice,Clay loam
91,36,45,24.44345477,82.45432595,5.950647577,rice,Silt loam
71,46,40,20.2801937,82.1235421,7.236705436,rice,Clay loam
71,46,40,20.2801937,82.1235421,7.236705436,rice,Silt loam
99,55,35,21.7238313,80.2389895,6.501697816,rice,Clay loam
99,55,35,21.7238313,80.2389895,6.501697816,rice,Silt loam
72,40,38,20.41447029,82.20802629,7.592490617,rice,Clay loam
72,40,38,20.41447029,82.20802629,7.592490617,rice,Silt loam
83,58,45,25.75528612,83.51827127,5.875345751,rice,Clay loam
83,58,45,25.75528612,83.51827127,5.875345751,rice,Silt loam
93,58,38,20.61521424,83.77345559,6.932400225,rice,Clay loam
93,58,38,20.61521424,83.77345559,6.932400225,rice,Silt loam
70,36,42,21.84106875,80.72886384,6.946209881,rice,Clay loam
70,36,42,21.84106875,80.72886384,6.946209881,rice,Silt loam
76,47,42,20.08369642,83.29114712,5.739175027,rice,Clay loam
76,47,42,20.08369642,83.29114712,5.739175027,rice,Silt loam
99,41,36,24.45802087,82.74835604,6.738652179,rice,Clay loam
99,41,36,24.45802087,82.74835604,6.738652179,rice,Silt loam
99,54,37,21.14347496,80.33502926,5.594819626,rice,Clay loam
99,54,37,21.14347496,80.33502926,5.594819626,rice,Silt loam
86,59,35,25.78720567,82.11124033,6.946636369,rice,Clay loam
86,59,35,25.78720567,82.11124033,6.946636369,rice,Silt loam
69,46,41,23.64124821,80.28597873,5.012139669,rice,Clay loam
69,46,41,23.64124821,80.28597873,5.012139669,rice,Silt loam
91,56,37,23.43191632,80.56887849,6.363472208,rice,Clay loam
91,56,37,23.43191632,80.56887849,6.363472208,rice,Silt loam
61,52,41,24.97669518,83.891805,6.880431223,rice,Clay loam
61,52,41,24.97669518,83.891805,6.880431223,rice,Silt loam
67,45,38,22.72791041,82.1706881,7.300410836,rice,Clay loam
67,45,38,22.72791041,82.1706881,7.300410836,rice,Silt loam
79,42,37,24.87300744,82.84022551,6.587918708,rice,Clay loam
79,42,37,24.87300744,82.84022551,6.587918708,rice,Silt loam
78,43,42,21.32376327,83.00320459,7.283736617,rice,Clay loam
78,43,42,21.32376327,83.00320459,7.283736617,rice,Silt loam
75,54,36,26.29465461,84.56919326,7.023936392,rice,Clay loam
75,54,36,26.29465461,84.56919326,7.023936392,rice,Silt loam
97,36,45,22.2286982,81.85872947,6.939083505,rice,Clay loam
97,36,45,22.2286982,81.85872947,6.939083505,rice,Silt loam
67,47,44,26.73072391,81.78596776,7.868474653,rice,Clay loam
67,47,44,26.73072391,81.78596776,7.868474653,rice,Silt loam
73,35,38,24.88921174,81.97927117,5.005306977,rice,Clay loam
73,35,38,24.88921174,81.97927117,5.005306977,rice,Silt loam
77,36,37,26.88444878,81.46033732,6.136131869,rice,Clay loam
77,36,37,26.88444878,81.46033732,6.136131869,rice,Silt loam
81,41,38,22.67846116,83.72874389,7.524080076,rice,Clay loam
81,41,38,22.67846116,83.72874389,7.524080076,rice,Silt loam
68,57,43,26.08867875,80.37979919,5.706943251,rice,Clay loam
68,57,43,26.08867875,80.37979919,5.706943251,rice,Silt loam
72,45,35,25.42977518,82.94682591,5.758506323,rice,Clay loam
72,45,35,25.42977518,82.94682591,5.758506323,rice,Silt loam
61,53,43,26.40323239,81.05635517,6.349606327,rice,Clay loam
61,53,43,26.40323239,81.05635517,6.349606327,rice,Silt loam
67,43,39,26.04371967,84.96907151,5.999969026,rice,Clay loam
67,43,39,26.04371967,84.96907151,5.999969026,rice,Silt loam
67,58,39,25.2827223,80.54372813,5.453592032,rice,Clay loam
67,58,39,25.2827223,80.54372813,5.453592032,rice,Silt loam
66,60,38,22.08576562,83.47038318,6.372576327,rice,Clay loam
66,60,38,22.08576562,83.47038318,6.372576327,rice,Silt loam
82,43,38,23.28617173,81.43321641,5.105588355,rice,Clay loam
82,43,38,23.28617173,81.43321641,5.105588355,rice,Silt loam
84,50,44,25.48591986,81.40633547,5.935344406,rice,Clay loam
84,50,44,25.48591986,81.40633547,5.935344406,rice,Silt loam
81,53,42,23.67575393,81.03569343,5.17782304,rice,Clay loam
81,53,42,23.67575393,81.03569343,5.17782304,rice,Silt loam
91,50,40,20.82477109,84.1341879,6.462391607,rice,Clay loam
91,50,40,20.82477109,84.1341879,6.462391607,rice,Silt loam
93,53,38,26.92995077,81.91411159,7.069172227,rice,Clay loam
93,53,38,26.92995077,81.91411159,7.069172227,rice,Silt loam
90,44,38,23.83509503,83.88387074,7.473134377,rice,Clay loam
90,44,38,23.83509503,83.88387074,7.473134377,rice,Silt loam
81,45,35,26.52872817,80.12267476,6.158376967,rice,Clay loam
81,45,35,26.52872817,80.12267476,6.158376967,rice,Silt loam
78,40,38,26.46428311,83.85642678,7.549873681,rice,Clay loam
78,40,38,26.46428311,83.85642678,7.549873681,rice,Silt loam
60,51,36,22.69657794,82.81088865,6.028321558,rice,Clay loam
60,51,36,22.69657794,82.81088865,6.028321558,rice,Silt loam
88,46,42,22.68319059,83.46358271,6.604993475,rice,Clay loam
88,46,42,22.68319059,83.46358271,6.604993475,rice,Silt loam
93,47,37,21.53346343,82.14004101,6.500343222,rice,Clay loam
93,47,37,21.53346343,82.14004101,6.500343222,rice,Silt loam
60,55,45,21.40865769,83.3293191,5.935745417,rice,Clay loam
60,55,45,21.40865769,83.3293191,5.935745417,rice,Silt loam
78,35,44,26.54348085,84.67353597,7.072655622,rice,Clay loam
78,35,44,26.54348085,84.67353597,7.072655622,rice,Silt loam
65,37,40,23.35905428,83.59512273,5.333322606,rice,Clay loam
65,37,40,23.35905428,83.59512273,5.333322606,rice,Silt loam
71,54,16,22.61359953,63.69070564,5.749914421,maize,Sandy loam
71,54,16,22.61359953,63.69070564,5.749914421,maize,Loam
61,44,17,26.10018422,71.57476937,6.931756558,maize,Sandy loam
61,44,17,26.10018422,71.57476937,6.931756558,maize,Loam
80,43,16,23.55882094,71.59351368,6.657964753,maize,Sandy loam
80,43,16,23.55882094,71.59351368,6.657964753,maize,Loam
73,58,21,19.97215954,57.68272924,6.596060648,maize,Sandy loam
73,58,21,19.97215954,57.68272924,6.596060648,maize,Loam
61,38,20,18.47891261,62.69503871,5.970458434,maize,Sandy loam
61,38,20,18.47891261,62.69503871,5.970458434,maize,Loam
68,41,16,21.77689322,57.80840636,6.158830619,maize,Sandy loam
68,41,16,21.77689322,57.80840636,6.158830619,maize,Loam
93,41,17,25.6217169,66.50415474,6.047906679,maize,Sandy loam
93,41,17,25.6217169,66.50415474,6.047906679,maize,Loam
89,60,19,25.19192419,66.6902901,5.913664501,maize,Sandy loam
89,60,19,25.19192419,66.6902901,5.913664501,maize,Loam
76,44,17,20.41683147,62.5542482,5.855442401,maize,Sandy loam
76,44,17,20.41683147,62.5542482,5.855442401,maize,Loam
67,60,25,24.92162194,66.78627406,5.750254943,maize,Sandy loam
67,60,25,24.92162194,66.78627406,5.750254943,maize,Loam
70,44,19,23.31689124,73.4541537,5.852607099,maize,Sandy loam
70,44,19,23.31689124,73.4541537,5.852607099,maize,Loam
90,49,21,24.84016732,68.3584573,6.472523287,maize,Sandy loam
90,49,21,24.84016732,68.3584573,6.472523287,maize,Loam
62,52,16,22.27526694,58.84015925,6.967057762,maize,Sandy loam
62,52,16,22.27526694,58.84015925,6.967057762,maize,Loam
92,44,16,18.87751445,65.76816093,6.082973754,maize,Sandy loam
92,44,16,18.87751445,65.76816093,6.082973754,maize,Loam
66,54,21,25.19008683,60.2001687,5.919045532,maize,Sandy loam
66,54,21,25.19008683,60.2001687,5.919045532,maize,Loam
63,58,22,18.25405352,55.28220433,6.204747653,maize,Sandy loam
63,58,22,18.25405352,55.28220433,6.204747653,maize,Loam
70,47,17,24.6129118,70.4162444,6.600827017,maize,Sandy loam
70,47,17,24.6129118,70.4162444,6.600827017,maize,Loam
61,41,17,25.1420613,65.26185135,6.021902237,maize,Sandy loam
61,41,17,25.1420613,65.26185135,6.021902237,maize,Loam
66,53,19,23.09348056,60.1159381,6.033550195,maize,Sandy loam
66,53,19,23.09348056,60.1159381,6.033550195,maize,Loam
74,55,19,18.05033737,62.89366992,6.28886807,maize,Sandy loam
74,55,19,18.05033737,62.89366992,6.28886807,maize,Loam
77,57,21,24.9321581,73.80435276,6.550563823,maize,Sandy loam
77,57,21,24.9321581,73.80435276,6.550563823,maize,Loam
99,50,15,18.14710054,71.09445342,5.573286437,maize,Sandy loam
99,50,15,18.14710054,71.09445342,5.573286437,maize,Loam
74,56,22,18.28362235,66.65952796,6.829199275,maize,Sandy loam
74,56,22,18.28362235,66.65952796,6.829199275,maize,Loam
83,45,21,18.83344471,58.75082029,5.716222912,maize,Sandy loam
83,45,21,18.83344471,58.75082029,5.716222912,maize,Loam
100,48,16,25.71895816,67.22190688,5.54990242,maize,Sandy loam
100,48,16,25.71895816,67.22190688,5.54990242,maize,Loam
79,51,16,25.33797709,68.49835977,6.586244581,maize,Sandy loam
79,51,16,25.33797709,68.49835977,6.586244581,maize,Loam
94,39,18,23.89114571,57.48775781,5.893093135,maize,Sandy loam
94,39,18,23.89114571,57.48775781,5.893093135,maize,Loam
75,49,15,21.53574127,71.50905983,5.918263801,maize,Sandy loam
75,49,15,21.53574127,71.50905983,5.918263801,maize,Loam
78,48,22,23.08974909,63.10459626,5.588650585,maize,Sandy loam
78,48,22,23.08974909,63.10459626,5.588650585,maize,Loam
87,54,20,25.61707368,63.4711755,6.576418207,maize,Sandy loam
87,54,20,25.61707368,63.4711755,6.576418207,maize,Loam
87,35,25,21.44526922,63.1621551,6.178056304,maize,Sandy loam
87,35,25,21.44526922,63.1621551,6.178056304,maize,Loam
63,43,19,18.51816776,55.53128131,6.641906353,maize,Sandy loam
63,43,19,18.51816776,55.53128131,6.641906353,maize,Loam
84,57,25,22.53510514,67.99257471,6.489040367,maize,Sandy loam
84,57,25,22.53510514,67.99257471,6.489040367,maize,Loam
64,35,23,23.02038334,61.89472002,5.680361038,maize,Sandy loam
64,35,23,23.02038334,61.89472002,5.680361038,maize,Loam
60,46,22,24.89364635,65.61418761,6.625404348,maize,Sandy loam
60,46,22,24.89364635,65.61418761,6.625404348,maize,Loam
98,44,21,25.77175115,74.089114,6.524478032,maize,Sandy loam
98,44,21,25.77175115,74.089114,6.524478032,maize,Loam
75,56,18,19.39851734,62.35750641,5.696205468,maize,Sandy loam
75,56,18,19.39851734,62.35750641,5.696205468,maize,Loam
86,55,21,21.54156232,59.64024162,6.803931519,maize,Sandy loam
86,55,21,21.54156232,59.64024162,6.803931519,maize,Loam
98,35,18,23.79746068,74.82913698,6.252797548,maize,Sandy loam
98,35,18,23.79746068,74.82913698,6.252797548,maize,Loam
76,57,18,18.9802729,74.52600826,6.092725883,maize,Sandy loam
76,57,18,18.9802729,74.52600826,6.092725883,maize,Loam
99,56,17,24.10859207,73.13112261,6.234330356,maize,Sandy loam
99,56,17,24.10859207,73.13112261,6.234330356,maize,Loam
60,44,23,24.7947077,70.04556743,5.722579819,maize,Sandy loam
60,44,23,24.7947077,70.04556743,5.722579819,maize,Loam
74,48,17,21.63162756,60.27766379,6.430616465,maize,Sandy loam
74,48,17,21.63162756,60.27766379,6.430616465,maize,Loam
89,60,17,25.37548751,57.21025565,5.983952675,maize,Sandy loam
89,60,17,25.37548751,57.21025565,5.983952675,maize,Loam
69,51,23,22.21738222,72.85462807,6.80163854,maize,Sandy loam
69,51,23,22.21738222,72.85462807,6.80163854,maize,Loam
96,46,22,20.58314011,69.00128641,6.499936446,maize,Sandy loam
96,46,22,20.58314011,69.00128641,6.499936446,maize,Loam
61,60,15,24.87502824,68.74248334,6.265564338,maize,Sandy loam
61,60,15,24.87502824,68.74248334,6.265564338,maize,Loam
74,58,18,20.03728219,56.35606753,6.727303282,maize,Sandy loam
74,58,18,20.03728219,56.35606753,6.727303282,maize,Loam
74,43,23,25.95263264,61.89082199,6.325235159,maize,Sandy loam
74,43,23,25.95263264,61.89082199,6.325235159,maize,Loam
63,43,17,19.28889933,65.47050802,6.807487794,maize,Sandy loam
63,43,17,19.28889933,65.47050802,6.807487794,maize,Loam
99,36,20,20.57981887,65.34583901,6.671085817,maize,Sandy loam
99,36,20,20.57981887,65.34583901,6.671085817,maize,Loam
77,36,23,24.71417533,56.73426469,6.648725327,maize,Sandy loam
77,36,23,24.71417533,56.73426469,6.648725327,maize,Loam
87,60,23,20.27317074,63.91281869,6.439071996,maize,Sandy loam
87,60,23,20.27317074,63.91281869,6.439071996,maize,Loam
60,38,17,18.41932981,64.23580251,6.474476516,maize,Sandy loam
60,38,17,18.41932981,64.23580251,6.474476516,maize,Loam
94,54,17,23.39128187,61.74427165,5.871647806,maize,Sandy loam
94,54,17,23.39128187,61.74427165,5.871647806,maize,Loam
95,38,22,19.84939404,61.24500053,5.730617109,maize,Sandy loam
95,38,22,19.84939404,61.24500053,5.730617109,maize,Loam
84,44,21,21.869274,61.91044947,5.850439831,maize,Sandy loam
84,44,21,21.869274,61.91044947,5.850439831,maize,Loam
77,58,19,22.8056033,56.50768935,5.791649933,maize,Sandy loam
77,58,19,22.8056033,56.50768935,5.791649933,maize,Loam
66,44,20,19.0781471,69.02298571,6.740000688,maize,Sandy loam
66,44,20,19.0781471,69.02298571,6.740000688,maize,Loam
63,35,16,22.02720976,65.35549924,6.272417541,maize,Sandy loam
63,35,16,22.02720976,65.35549924,6.272417541,maize,Loam
79,45,20,23.80546189,59.24537979,5.715208817,maize,Sandy loam
79,45,20,23.80546189,59.24537979,5.715208817,maize,Loam
72,60,25,18.52510753,69.0276233,5.773454729,maize,Sandy loam
72,60,25,18.52510753,69.0276233,5.773454729,maize,Loam
67,51,24,23.50297882,61.32026065,5.584171461,maize,Sandy loam
67,51,24,23.50297882,61.32026065,5.584171461,maize,Loam
86,36,24,26.54986394,72.89187265,5.787268394,maize,Sandy loam
86,36,24,26.54986394,72.89187265,5.787268394,maize,Loam
76,48,18,19.29563411,69.63481219,5.77597783,maize,Sandy loam
76,48,18,19.29563411,69.63481219,5.77597783,maize,Loam
75,53,18,20.68899915,59.4375337,6.864793607,maize,Sandy loam
75,53,18,20.68899915,59.4375337,6.864793607,maize,Loam
81,45,23,19.32666088,68.034493,6.192360003,maize,Sandy loam
81,45,23,19.32666088,68.034493,6.192360003,maize,Loam
73,45,21,24.60532218,73.58868502,6.636803223,maize,Sandy loam
73,45,21,24.60532218,73.58868502,6.636803223,maize,Loam
71,35,24,22.27373646,59.52193158,5.826426917,maize,Sandy loam
71,35,24,22.27373646,59.52193158,5.826426917,maize,Loam
96,54,22,25.70196694,61.33450447,6.960358276,maize,Sandy loam
96,54,22,25.70196694,61.33450447,6.960358276,maize,Loam
99,39,18,19.20129357,68.30578978,6.11275104,maize,Sandy loam
99,39,18,19.20129357,68.30578978,6.11275104,maize,Loam
62,48,20,21.70181447,60.47470519,6.708446922,maize,Sandy loam
62,48,20,21.70181447,60.47470519,6.708446922,maize,Loam
86,37,16,20.51716779,59.21235483,5.561510732,maize,Sandy loam
86,37,16,20.51716779,59.21235483,5.561510732,maize,Loam
94,50,19,23.30355338,73.62548442,5.873242491,maize,Sandy loam
94,50,19,23.30355338,73.62548442,5.873242491,maize,Loam
76,39,24,24.2547451,55.64709899,6.995843776,maize,Sandy loam
76,39,24,24.2547451,55.64709899,6.995843776,maize,Loam
77,52,17,24.86374934,65.7420046,5.714799723,maize,Sandy loam
77,52,17,24.86374934,65.7420046,5.714799723,maize,Loam
74,39,23,22.6265115,65.77472881,6.78073637,maize,Sandy loam
74,39,23,22.6265115,65.77472881,6.78073637,maize,Loam
81,49,20,18.04185513,60.61494304,5.513697923,maize,Sandy loam
81,49,20,18.04185513,60.61494304,5.513697923,maize,Loam
63,42,21,23.26237612,72.33125523,5.798423908,maize,Sandy loam
63,42,21,23.26237612,72.33125523,5.798423908,maize,Loam
99,38,21,22.88330922,71.59722446,6.352471866,maize,Sandy loam
99,38,21,22.88330922,71.59722446,6.352471866,maize,Loam
90,52,25,25.97482359,69.36385721,6.822586546,maize,Sandy loam
90,52,25,25.97482359,69.36385721,6.822586546,maize,Loam
68,40,19,26.14384005,66.20569924,6.655426355,maize,Sandy loam
68,40,19,26.14384005,66.20569924,6.655426355,maize,Loam
60,57,24,18.66116213,61.55327249,6.121294041,maize,Sandy loam
60,57,24,18.66116213,61.55327249,6.121294041,maize,Loam
71,52,18,25.10787449,55.97732754,5.790770203,maize,Sandy loam
71,52,18,25.10787449,55.97732754,5.790770203,maize,Loam
61,59,17,23.33844615,59.24580604,6.47444292,maize,Sandy loam
61,59,17,23.33844615,59.24580604,6.47444292,maize,Loam
88,38,15,25.08239719,65.92195844,6.455116637,maize,Sandy loam
88,38,15,25.08239719,65.92195844,6.455116637,maize,Loam
65,60,22,25.36768364,72.52054555,6.606984086,maize,Sandy loam
65,60,22,25.36768364,72.52054555,6.606984086,maize,Loam
78,37,22,25.34217103,63.31801994,6.330554389,maize,Sandy loam
78,37,22,25.34217103,63.31801994,6.330554389,maize,Loam
78,58,15,25.00933355,67.816568,6.528631266,maize,Sandy loam
78,58,15,25.00933355,67.816568,6.528631266,maize,Loam
92,60,23,18.66746724,71.516474,5.721667141,maize,Sandy loam
92,60,23,18.66746724,71.516474,5.721667141,maize,Loam
79,59,17,20.37999665,63.73849998,6.644205485,maize,Sandy loam
79,59,17,20.37999665,63.73849998,6.644205485,maize,Loam
91,55,15,18.09300227,72.61024172,6.376651091,maize,Sandy loam
91,55,15,18.09300227,72.61024172,6.376651091,maize,Loam
76,51,18,26.16985907,71.96246617,6.247040422,maize,Sandy loam
76,51,18,26.16985907,71.96246617,6.247040422,maize,Loam
87,48,25,18.65396672,61.37879671,6.656730008,maize,Sandy loam
87,48,25,18.65396672,61.37879671,6.656730008,maize,Loam
71,60,22,26.07470121,59.37147589,6.2048017,maize,Sandy loam
71,60,22,26.07470121,59.37147589,6.2048017,maize,Loam
90,57,24,18.92851916,72.80086137,6.158860284,maize,Sandy loam
90,57,24,18.92851916,72.80086137,6.158860284,maize,Loam
67,35,22,23.30546753,63.24648023,6.385684214,maize,Sandy loam
67,35,22,23.30546753,63.24648023,6.385684214,maize,Loam
60,54,19,18.74826712,62.49878458,6.417820493,maize,Sandy loam
60,54,19,18.74826712,62.49878458,6.417820493,maize,Loam
83,58,23,19.74213321,59.66263104,6.381201909,maize,Sandy loam
83,58,23,19.74213321,59.66263104,6.381201909,maize,Loam
83,57,19,25.73044432,70.74739256,6.877869005,maize,Sandy loam
83,57,19,25.73044432,70.74739256,6.877869005,maize,Loam
40,72,77,17.02498456,16.98861173,7.485996067,chickpea,Sandy loam
40,72,77,17.02498456,16.98861173,7.485996067,chickpea,Loam
23,72,84,19.02061277,17.13159126,6.920251378,chickpea,Sandy loam
23,72,84,19.02061277,17.13159126,6.920251378,chickpea,Loam
39,58,85,17.88776475,15.40589717,5.996932037,chickpea,Sandy loam
39,58,85,17.88776475,15.40589717,5.996932037,chickpea,Loam
22,72,85,18.86805647,15.65809214,6.391173589,chickpea,Sandy loam
22,72,85,18.86805647,15.65809214,6.391173589,chickpea,Loam
36,67,77,18.36952567,19.56381041,7.152811172,chickpea,Sandy loam
36,67,77,18.36952567,19.56381041,7.152811172,chickpea,Loam
32,73,81,20.45078582,15.40312102,5.988992796,chickpea,Sandy loam
32,73,81,20.45078582,15.40312102,5.988992796,chickpea,Loam
58,70,84,20.6543203,16.60820843,6.231049028,chickpea,Sandy loam
58,70,84,20.6543203,16.60820843,6.231049028,chickpea,Loam
59,70,84,17.3348681,18.74926979,7.550808267,chickpea,Sandy loam
59,70,84,17.3348681,18.74926979,7.550808267,chickpea,Loam
42,62,75,18.17912258,18.90426935,7.010570541,chickpea,Sandy loam
42,62,75,18.17912258,18.90426935,7.010570541,chickpea,Loam
28,74,81,18.01272266,18.30968112,8.753795334,chickpea,Sandy loam
28,74,81,18.01272266,18.30968112,8.753795334,chickpea,Loam
58,66,79,20.99373558,19.33470387,8.718192847,chickpea,Sandy loam
58,66,79,20.99373558,19.33470387,8.718192847,chickpea,Loam
43,66,79,19.46233971,15.22538951,7.976607593,chickpea,Sandy loam
43,66,79,19.46233971,15.22538951,7.976607593,chickpea,Loam
58,63,81,19.81344531,14.69765308,6.515499549,chickpea,Sandy loam
